rank,company,ticker
378,Jefferies Financial Group,JEF
379,Williams,WMB
380,VF,VFC
381,Autoliv,ALV
382,Westinghouse Air Brake Technologies,WAB
383,Public Service Enterprise Group,PEG
384,Dana,DAN
385,Ebay,EBAY
386,Celanese,CE
387,Global Payments,GPN
388,News Corp.,NWSA
389,Thor Industries,THO
390,QVC Group,QVCG.A
391,Icahn Enterprises,IEP
392,Constellation Brands,STZ
393,Quest Diagnostics,DGX
394,KLA,KLAC
395,APA,APA
396,A-Mark Precious Metals,AMRK
397,Biogen,BIIB
398,Campbell's,CPB
399,Concentrix,CNXC
400,Cintas,CTAS
401,SpartanNash,SPTN
402,Analog Devices,ADI
403,Eastman Chemical,EMN
404,Interactive Brokers Group,IBKR
405,Regions Financial,RF
406,JetBlue Airways,JBLU
407,Zoetis,ZTS
408,KeyCorp,KEY
409,Oscar Health,OSCR
410,Ovintiv,OVV
411,Seaboard,SEB
412,Hertz Global Holdings,HTZ
413,Skechers U.S.A.,SKX
414,Altice USA,ATUS
415,NOV,NOV
416,Graphic Packaging Holding,GPK
417,Avery Dennison,AVY
418,Equinix,EQIX
419,Insight Enterprises,NSIT
420,Sirius XM Holdings,SIRI
421,PVH,PVH
422,CenterPoint Energy,CNP
423,WEC Energy Group,WEC
424,Xylem,XYL
425,Franklin Resources,BEN
426,PPL,PPL
427,Workday,WDAY
428,Dover,DOV
429,Packaging Corp. of America,PKG
430,ABM Industries,ABM
431,Intuitive Surgical,ISRG
432,American Financial Group,AFG
433,Rockwell Automation,ROK
434,Solventum,SOLV
435,Old Republic International,ORI
436,Prologis,PLD
437,J.M. Smucker,SJM
438,Taylor Morrison Home,TMHC
439,XPO,XPO
440,Voya Financial,VOYA
441,Palo Alto Networks,PANW
442,Vertiv Holdings,VRT
443,Welltower,WELL
444,Foot Locker,FL
445,Par Pacific Holdings,PARR
446,TransDigm Group,TDG
447,Commercial Metals,CMC
448,Post Holdings,POST
449,Masco,MAS
450,Rush Enterprises,RUSHB
451,KBR,KBR
452,Sprouts Farmers Market,SFM
453,Williams-Sonoma,WSM
454,Zimmer Biomet Holdings,ZBH
455,CACI International,CACI
456,Microchip Technology,MCHP
457,Watsco,WSO
458,Newell Brands,NWL
459,ARKO,ARKO
460,Sanmina,SANM
461,Electronic Arts,EA
462,Yum Brands,YUM
463,Fastenal,FAST
464,CMS Energy,CMS
465,Monster Beverage,MNST
466,Science Applications International,SAIC
467,Core & Main,CNM
468,Howmet Aerospace,HWM
469,Vulcan Materials,VMC
