fortune_rank,company,ticker,n_obs,daily_std,cc_vol,parkinson_vol,gk_vol,rs_vol,yz_vol,ewma_vol,mad_vol,norm_avg_vol,n_measures
169,Freeport-McMoRan,FCX,253,0.02832102057831097,0.449582263954521,0.33906568936185366,0.323616648711399,0.3303030985719363,0.4550428656089228,0.3789959505166118,0.3250863347179213,0.2634995766553993,7
143,Hewlett Packard Enterprise,HPE,253,0.029174043527552165,0.46312358347245947,0.3516800754077289,0.3139849418408408,0.34386368882310564,0.5057187969358219,0.2787021241502481,0.30675896758253723,0.2588326337894389,7
158,Applied Materials,AMAT,253,0.02862264668406533,0.45437042994302645,0.31898112845540305,0.30476890461793343,0.30686856094687515,0.46032961609366235,0.42978650764528464,0.31100181498667445,0.2582936480881837,7
26,Walgreens Boots Alliance,WBA,243,0.03283268887065133,0.5212027777518092,0.41749935195769555,0.3957225495647172,0.42404654331442565,0.5653793736033734,0.09112005299570466,0.17075559798229373,0.2567514564742768,7
145,KKR,KKR,253,0.028214664135894036,0.4478939077727324,0.3522364761815365,0.3419328121687961,0.3352185727810562,0.43456088935748616,0.29691285940619283,0.31064600331277276,0.25214245484820536,7
42,StoneX Group,SNEX,253,0.023917499354436482,0.3796785316463209,0.34976198586672685,0.3557003542271518,0.3608048143438802,0.4079413303507927,0.4466814171280811,0.2621472218656523,0.2519787358049889,7
199,WESCO International,WCC,253,0.026604136805095165,0.4223275789909336,0.3370528295280088,0.3277420541641525,0.3262998442871873,0.43175525267284953,0.283181230165947,0.33502946456859956,0.2457936469197448,7
156,Southwest Airlines,LUV,253,0.025788888218345685,0.40938590888751764,0.34949661817010036,0.305824611855074,0.3460209610527987,0.44296663020185467,0.35143623289884585,0.2817973601625201,0.24421518245413984,7
101,Uber Technologies,UBER,253,0.025554993629806712,0.4056729474018502,0.3454400647722501,0.34352531022917876,0.3434102058487953,0.4152731187655046,0.2622674903026412,0.31260748561301177,0.2396129400057434,7
79,Charter Communications,CHTR,253,0.026472257490939705,0.42023405978095896,0.31817186935332753,0.3190219061357492,0.31793908594838777,0.40400605002593853,0.37046588683150705,0.29145439040603294,0.23676554106941647,7
